168	54	7	0	50
-85.78638444	72	5	0	64
163	70	7	0	68
176	82	7	0	72
221	84	7	0	64
195	84	7	0	80
214	68	7	0	82
229	50	7	0	76
229	74	7	0	78
232	82	7	0	80
-71	86	5	0	90
172	80	7	0	94
226	78	7	0	84
232	62	7	0	92
-4	56	5	0	86
227	92	7	0	88
241	94	7	0	90
245	94	7	0	92
228	84	7	0	92
207	100	7	0	94
228	98	7	0	90
217	98	7	0	94
212	96	7	0	88
225	100	7	0	92
171	100	7	0	100
230	98	7	0	92
228	96	7	0	98
230	100	7	0	96
242	94	7	0	100
206	96	7	0	100
220	100	7	0	92
240	96	7	0	100
245	100	7	0	96
210	100	7	0	100
238	96	7	0	100
201	100	7	0	94
195	94	7	0	100
194	98	7	0	100
191	100	7	0	98
205	98	7	0	100
